name,headline,is_outdoor,price_rating,booking_required,is_cardio,intimate,time_of_day,address_postcode,area_category,area_number,address_text,description,event_type,external_link,address_longitudinal,address_latitudinal,end_column_unused
ArcelorMittal Orbit,"Race down this iconic slide built in Queen Elizabeth Olympic Park, or abseil down with Wire & Sky",2,2,1,3,1,1,E20 2AD,East,3,"Queen Elizabeth Olympic Park, 5 Thornton St, London E20 2AD, United Kingdom",,sport,http://arcelormittalorbit.com/,0,0,1
WakeUp Docklands,"Enjoy some watersports like wakeboarding and paddleboard pilates, and don't forget their beach bar too",2,3,1,3,1,1,E16 1AH,East,3,"1 Dock Rd, Royal Docks, London E16 1AH, United Kingdom",,sport,https://www.wakeupdocklands.com/,0,0,1
Parkour Generations,Take an adventours free-running class with other thrill-seekers at Parkour Generations,1,2,1,3,1,1,E14 0JY,East,3,"Chainstore Gym & Parkour Academy, 64 Orchard Place Trinity Buoy Wharf, London E14 0JY, United Kingdom",,sport,https://parkourgenerationslondon.com/,0,0,1
Oxygen Freejumping,Bounce and soar at Oxygen Freejumping,1,2,1,3,1,1,SE10 0DX,Southeast,5,"Peninsula Square, Greenwich Peninsula, London SE10 0DX, United Kingdom",,sport,http://oxygenfreejumping.co.uk,0,0,1
Lee Valley VeloPark,Try out some mountain biking trails and road-circuit racing in Lee Valley,2,3,1,3,1,1,E20 3AB,East,3,"Abercrombie Rd, London E20 3AB, United Kingdom",,sport,http://visitleevalley.org.uk,0,0,1
Zip Now London,Soar through the sky at 50kph on a zip wire through London,2,3,1,3,1,1,SE1 7LE,Southeast,5,"Carlisle Ln, Lambeth, London SE1 7LE, United Kingdom",,sport,http://london.zip-now.co,0,0,1
Grant Museum of Zoology,Check out this quirky one of a kind zoological museum in London,2,1,1,1,1,1,WC1E 6DE,Central - West,2,"Rockefeller Building, 21 University St, Bloomsbury, London WC1E 6DE, United Kingdom",,museum,http://ucl.ac.uk,0,0,1
Pollock's Toy Museum,"For something novel, explore this museum of old toys in an unrestored Georgian townhouse",2,2,1,1,1,1,W1T 2HL,West,4,"1 Scala St, Bloomsbury, London W1T 2HL, United Kingdom",,museum,http://pollockstoys.com,0,0,1
Gorilla Circus Flying Trapeze School,Leave a circus performer at the Flying Trapeze School,2,3,1,3,1,1,SW7 5ET,Southwest,6,"London SW7 5ET, United Kingdom",,sport,http://www.gorillacircus.com/flyingtrapezeschool/,0,0,1
Secret City Trails,Explore London cracking hidden puzzles on these secret trails,2,2,1,2,1,1,E1 6JE,East,3,ANY,,activity,https://www.secretcitytrails.com/,0,0,1
Shri Swaminarayan Mandir Temple,Explore this beautiful and intricate Hindu marble temple that looks straight out of India,2,1,1,2,1,1,NW10 8LD,Northwest,8,"105-119 Brentfield Rd, London NW10 8LD, United Kingdom",,market,http://londonmandir.baps.org,0,0,1
Brixton Market,"Grab Caribbean food, a craft beer and more at this market medley in the heart of Brixton",2,1,1,2,1,3,SW9 8JX,Southwest,6,"Electric Ave, Brixton, London SW9 8JX, United Kingdom",,museum,http://brixtonmarket.net/,0,0,1
Imperial War Museum,Check out artefacts of past wars and learn about history at the Imperial War Museum,2,1,1,1,1,1,SE1 6HZ,Southeast,5,"Lambeth Rd, London SE1 6HZ, United Kingdom",,museum,http://iwm.org.uk,0,0,1
The Bridge Theatre,Check out new plays and reimagined classics at this riverfront theater,2,2,1,1,1,3,SE1 2SG,Southeast,5,"3 Potters Fields Park, London SE1 2SG, United Kingdom",,theatre,http://bridgetheatre.co.uk,0,0,1
Highgate Cemetery,"Explore this creepy but highly popular 19th century cemetary, for mossy gravestones and pathways",2,2,1,2,1,1,N6 6PJ,North,7,"Swain's Ln, Highgate, London N6 6PJ, United Kingdom",,other,https://highgatecemetery.org/,0,0,1
The Kiln Rooms - Ceramic Class,Try a taster pottery class - throw on a wheel and fire and glaze some pottery,2,4,1,1,1,1,SE15 4QJ,Southeast,5,"Railway Arch 198 Bellenden Road, (Rear of 85 Bellenden Rd), London SE15 4QJ, United Kingdom",,hobby,http://www.thekilnrooms.com/,0,0,1
Yuki's Kitchen - Sushi Class,Learn to make sushi and cook street food at Yuki's Kitchen,2,4,1,1,2,1,SE19 3PU,Southeast,5,"21 Harold Road, London SE19 3PU, United Kingdom",,hobby,https://www.yukigomi.com/,0,0,1
BungaTINI - Pizza Making Class,"Join for a night of dough tossing, Italian piza making and cocktails",2,3,1,1,2,2,WC2B 5PG,Central - West,2,"167 Drury Ln, Holborn, London WC2B 5PG, United Kingdom",,hobby,https://www.bungabunga.com/bungatini/,0,0,1
Quill London - Calligraphy Class,Learn modern calligraphy using ink and nib at Quill London,2,5,1,1,1,1,EC1R 1UR,Central - East,1,"37 Amwell St, Islington, London EC1R 1UR, United Kingdom",,hobby,https://quilllondon.com/,0,0,1
Graffiti Kings,Plan a one to one graffiti class session with Graffiti Kings,1,5,1,1,1,1,EC1A 4AE,Central - East,1,"Graffiti Kings, Aldersgate St, Barbican, London EC1A 4AE, United Kingdom",,hobby,http://graffitikings.co.uk,0,0,1
Alcotraz - Covent Garden,"Inside the Aloctraz prison, smuggle in spirits past the guards and learn to mix your own cocktails from the bar's mixologists",2,3,1,1,2,2,WC2H 9PA,Central - West,2,"68a Neal St, Covent Garden, London WC2H 9PA, United Kingdom",,hobby,https://www.alcotraz.co.uk/,0,0,1
Alcotraz - Shoreditch,"Inside the Aloctraz prison, smuggle in spirits past the guards and learn to mix your own cocktails from the bar's mixologists",2,3,1,1,2,2,E1 6SA,East,3,"212 Brick Ln, London E1 6SA, United Kingdom",,hobby,https://www.alcotraz.co.uk/,0,0,1
Martello Hall,Blend your own small batch gin and learn to mix cocktails at a gin masterclass,2,3,1,1,2,2,E8 3RH,East,3,"137 Mare St, London E8 3RH, United Kingdom",,hobby,https://www.martellohall.com/,0,0,1
Map Maison,Take a Japanese Whisky Masterclass or cocktail making lesson at Map Maison,2,4,1,1,2,2,E8 4DL,East,3,"MAP Maison, 321 Kingsland Rd, Dalston, London E8 4DL, United Kingdom",,hobby,https://www.mapmaison.com/,0,0,1
Black Sheep Bow Lane,Learn to brew the perfect cup of coffee at Black Sheep's coffee masterclass,2,4,1,1,1,1,EC4M 9AL,Central - East,1,"12 Bow Ln, London EC4M 9AL, United Kingdom",,hobby,https://leavetheherdbehind.com/,0,0,1
Pasta Remoli - Pasta Making Class,Learn to make homemade Italian pasta with authentic ingredients at a pasta masterclass,2,4,1,1,2,1,N4 3JP,North,7,"7 Clifton Terrace, Finsbury Park, London N4 3JP, United Kingdom",,hobby,http://pastaremoli.co.uk,0,0,1
Maskelyne & Cooke - Magic Class,"Learn a magic trick or two while sipping a cocktail, at this masterclass",2,2,1,1,1,2,W1J 0BH,West,4,"21 Piccadilly England, London W1J 0BH, United Kingdom",,hobby,http://maskelyneandcooke.co.uk,0,0,1
Hawkes,"Take a brewery tour or tasting, or book a cider making class!",2,2,1,1,1,3,SE1 2HQ,Southeast,5,"86-92 Druid St, Bermondsey, London SE1 2HQ, United Kingdom",,hobby,http://wearehawkes.com,0,0,1
Yo! Sushi - Sushi Making Class,Learn to roll your own Japanese sushi by hand,2,3,1,1,1,3,W1T 4TT,West,4,"106 Tottenham Court Rd, Bloomsbury, London W1T 4TT, United Kingdom",,hobby,http://yosushi.com,0,0,1
